Left-close learning graph @ episode 676
Last correct %: 0.556420233463035 (143/257)
=BEGIN DATA=
(0, 0)
(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(8, 0)
(9, 0)
(10, 0)
(11, 0)
(12, 0)
(13, 0)
(14, 0)
(15, 0)
(16, 0)
(17, 0)
(18, 0)
(19, 0)
(20, 0)
(21, 0)
(22, 0)
(23, 0)
(24, 0)
(25, 0)
(26, 0)
(27, 0)
(28, 0)
(29, 0)
(30, 0)
(31, 0)
(32, 0)
(33, 0)
(34, 0)
(35, 0)
(36, 0)
(37, 0)
(38, 0)
(39, 0)
(40, 0)
(41, 0)
(42, 0)
(43, 0)
(44, 0)
(45, 0)
(46, 0)
(47, 0.0)
(48, 0.5)
(49, 0.5)
(50, 0.3333333333333333)
(51, 0.5)
(52, 0.5)
(53, 0.5)
(54, 0.5)
(55, 0.5)
(56, 0.5)
(57, 0.4)
(58, 0.4)
(59, 0.4)
(60, 0.4)
(61, 0.4)
(62, 0.4)
(63, 0.4)
(64, 0.4)
(65, 0.4)
(66, 0.4)
(67, 0.4)
(68, 0.4)
(69, 0.4)
(70, 0.4)
(71, 0.4)
(72, 0.4)
(73, 0.4)
(74, 0.4)
(75, 0.4)
(76, 0.3333333333333333)
(77, 0.3333333333333333)
(78, 0.3333333333333333)
(79, 0.3333333333333333)
(80, 0.3333333333333333)
(81, 0.3333333333333333)
(82, 0.3333333333333333)
(83, 0.3333333333333333)
(84, 0.3333333333333333)
(85, 0.3333333333333333)
(86, 0.3333333333333333)
(87, 0.3333333333333333)
(88, 0.375)
(89, 0.375)
(90, 0.4444444444444444)
(91, 0.4444444444444444)
(92, 0.4444444444444444)
(93, 0.4444444444444444)
(94, 0.4444444444444444)
(95, 0.4444444444444444)
(96, 0.4444444444444444)
(97, 0.4444444444444444)
(98, 0.4444444444444444)
(99, 0.4444444444444444)
(100, 0.4444444444444444)
(101, 0.4444444444444444)
(102, 0.4444444444444444)
(103, 0.4444444444444444)
(104, 0.4444444444444444)
(105, 0.4444444444444444)
(106, 0.4444444444444444)
(107, 0.4444444444444444)
(108, 0.4444444444444444)
(109, 0.4444444444444444)
(110, 0.4444444444444444)
(111, 0.4444444444444444)
(112, 0.4444444444444444)
(113, 0.4444444444444444)
(114, 0.4444444444444444)
(115, 0.4444444444444444)
(116, 0.4444444444444444)
(117, 0.4444444444444444)
(118, 0.4444444444444444)
(119, 0.4444444444444444)
(120, 0.4444444444444444)
(121, 0.4444444444444444)
(122, 0.4444444444444444)
(123, 0.4444444444444444)
(124, 0.4444444444444444)
(125, 0.4444444444444444)
(126, 0.4444444444444444)
(127, 0.4444444444444444)
(128, 0.4444444444444444)
(129, 0.4444444444444444)
(130, 0.4444444444444444)
(131, 0.4444444444444444)
(132, 0.4444444444444444)
(133, 0.4444444444444444)
(134, 0.4444444444444444)
(135, 0.4444444444444444)
(136, 0.4444444444444444)
(137, 0.36363636363636365)
(138, 0.36363636363636365)
(139, 0.36363636363636365)
(140, 0.36363636363636365)
(141, 0.36363636363636365)
(142, 0.36363636363636365)
(143, 0.36363636363636365)
(144, 0.36363636363636365)
(145, 0.4166666666666667)
(146, 0.4166666666666667)
(147, 0.4166666666666667)
(148, 0.4166666666666667)
(149, 0.4166666666666667)
(150, 0.4166666666666667)
(151, 0.4166666666666667)
(152, 0.4166666666666667)
(153, 0.4166666666666667)
(154, 0.4166666666666667)
(155, 0.4166666666666667)
(156, 0.4166666666666667)
(157, 0.4166666666666667)
(158, 0.4166666666666667)
(159, 0.4166666666666667)
(160, 0.4166666666666667)
(161, 0.4166666666666667)
(162, 0.38461538461538464)
(163, 0.38461538461538464)
(164, 0.38461538461538464)
(165, 0.38461538461538464)
(166, 0.38461538461538464)
(167, 0.38461538461538464)
(168, 0.38461538461538464)
(169, 0.42857142857142855)
(170, 0.42857142857142855)
(171, 0.42857142857142855)
(172, 0.4)
(173, 0.47058823529411764)
(174, 0.47058823529411764)
(175, 0.47058823529411764)
(176, 0.47058823529411764)
(177, 0.47058823529411764)
(178, 0.5)
(179, 0.5)
(180, 0.5)
(181, 0.47368421052631576)
(182, 0.47368421052631576)
(183, 0.47368421052631576)
(184, 0.47368421052631576)
(185, 0.47368421052631576)
(186, 0.47368421052631576)
(187, 0.47368421052631576)
(188, 0.47368421052631576)
(189, 0.47619047619047616)
(190, 0.47619047619047616)
(191, 0.4782608695652174)
(192, 0.4782608695652174)
(193, 0.4782608695652174)
(194, 0.4782608695652174)
(195, 0.4782608695652174)
(196, 0.4782608695652174)
(197, 0.4782608695652174)
(198, 0.4782608695652174)
(199, 0.4782608695652174)
(200, 0.4782608695652174)
(201, 0.4782608695652174)
(202, 0.4782608695652174)
(203, 0.48)
(204, 0.48)
(205, 0.48)
(206, 0.48)
(207, 0.48)
(208, 0.48)
(209, 0.48)
(210, 0.46153846153846156)
(211, 0.46153846153846156)
(212, 0.46153846153846156)
(213, 0.46153846153846156)
(214, 0.46153846153846156)
(215, 0.46153846153846156)
(216, 0.46153846153846156)
(217, 0.46153846153846156)
(218, 0.46153846153846156)
(219, 0.46153846153846156)
(220, 0.46153846153846156)
(221, 0.46153846153846156)
(222, 0.4444444444444444)
(223, 0.4444444444444444)
(224, 0.4444444444444444)
(225, 0.4444444444444444)
(226, 0.4444444444444444)
(227, 0.4444444444444444)
(228, 0.42857142857142855)
(229, 0.42857142857142855)
(230, 0.41935483870967744)
(231, 0.41935483870967744)
(232, 0.41935483870967744)
(233, 0.41935483870967744)
