Right-close learning graph @ episode 676
Last correct %: 0.6440162271805274 (1270/1972)
=BEGIN DATA=
(0, 0)
(1, 0)
(2, 0)
(3, 0)
(4, 0.0)
(5, 0.0)
(6, 0.0)
(7, 0.3333333333333333)
(8, 0.3333333333333333)
(9, 0.3333333333333333)
(10, 0.3333333333333333)
(11, 0.3333333333333333)
(12, 0.25)
(13, 0.2)
(14, 0.16666666666666666)
(15, 0.16666666666666666)
(16, 0.14285714285714285)
(17, 0.14285714285714285)
(18, 0.25)
(19, 0.25)
(20, 0.25)
(21, 0.25)
(22, 0.25)
(23, 0.25)
(24, 0.25)
(25, 0.2222222222222222)
(26, 0.3)
(27, 0.3)
(28, 0.3)
(29, 0.3)
(30, 0.3)
(31, 0.36363636363636365)
(32, 0.3333333333333333)
(33, 0.3333333333333333)
(34, 0.38461538461538464)
(35, 0.38461538461538464)
(36, 0.35714285714285715)
(37, 0.35294117647058826)
(38, 0.3333333333333333)
(39, 0.3333333333333333)
(40, 0.35)
(41, 0.38095238095238093)
(42, 0.375)
(43, 0.38461538461538464)
(44, 0.4074074074074074)
(45, 0.4074074074074074)
(46, 0.39285714285714285)
(47, 0.39285714285714285)
(48, 0.3793103448275862)
(49, 0.3793103448275862)
(50, 0.3793103448275862)
(51, 0.4)
(52, 0.375)
(53, 0.38235294117647056)
(54, 0.3888888888888889)
(55, 0.3888888888888889)
(56, 0.3888888888888889)
(57, 0.40540540540540543)
(58, 0.39473684210526316)
(59, 0.39473684210526316)
(60, 0.39473684210526316)
(61, 0.39473684210526316)
(62, 0.4)
(63, 0.4)
(64, 0.4)
(65, 0.4)
(66, 0.4)
(67, 0.4)
(68, 0.4)
(69, 0.4)
(70, 0.4)
(71, 0.4)
(72, 0.4)
(73, 0.4)
(74, 0.3902439024390244)
(75, 0.3902439024390244)
(76, 0.38095238095238093)
(77, 0.38095238095238093)
(78, 0.38095238095238093)
(79, 0.37209302325581395)
(80, 0.37209302325581395)
(81, 0.36363636363636365)
(82, 0.37777777777777777)
(83, 0.37777777777777777)
(84, 0.37777777777777777)
(85, 0.37777777777777777)
(86, 0.37777777777777777)
(87, 0.3541666666666667)
(88, 0.3673469387755102)
(89, 0.3673469387755102)
(90, 0.38)
(91, 0.37254901960784315)
(92, 0.36538461538461536)
(93, 0.35185185185185186)
(94, 0.36363636363636365)
(95, 0.3508771929824561)
(96, 0.3508771929824561)
(97, 0.3508771929824561)
(98, 0.3508771929824561)
(99, 0.3620689655172414)
(100, 0.38333333333333336)
(101, 0.38333333333333336)
(102, 0.4032258064516129)
(103, 0.4032258064516129)
(104, 0.4032258064516129)
(105, 0.4032258064516129)
(106, 0.4032258064516129)
(107, 0.3968253968253968)
(108, 0.3968253968253968)
(109, 0.4)
(110, 0.3880597014925373)
(111, 0.391304347826087)
(112, 0.391304347826087)
(113, 0.391304347826087)
(114, 0.391304347826087)
(115, 0.391304347826087)
(116, 0.391304347826087)
(117, 0.39436619718309857)
(118, 0.39436619718309857)
(119, 0.39436619718309857)
(120, 0.39436619718309857)
(121, 0.4027777777777778)
(122, 0.4189189189189189)
(123, 0.4266666666666667)
(124, 0.4266666666666667)
(125, 0.4342105263157895)
(126, 0.44155844155844154)
(127, 0.44155844155844154)
(128, 0.44155844155844154)
(129, 0.4430379746835443)
(130, 0.4430379746835443)
(131, 0.45)
(132, 0.4567901234567901)
(133, 0.4578313253012048)
(134, 0.4523809523809524)
(135, 0.4523809523809524)
(136, 0.4523809523809524)
(137, 0.45348837209302323)
(138, 0.4482758620689655)
(139, 0.4431818181818182)
(140, 0.43333333333333335)
(141, 0.43010752688172044)
(142, 0.43157894736842106)
(143, 0.422680412371134)
(144, 0.41836734693877553)
(145, 0.41836734693877553)
(146, 0.41)
(147, 0.4019607843137255)
(148, 0.4019607843137255)
(149, 0.4077669902912621)
(150, 0.4077669902912621)
(151, 0.4077669902912621)
(152, 0.41346153846153844)
(153, 0.4095238095238095)
(154, 0.41509433962264153)
(155, 0.41509433962264153)
(156, 0.4205607476635514)
(157, 0.42592592592592593)
(158, 0.42592592592592593)
(159, 0.42592592592592593)
(160, 0.42342342342342343)
(161, 0.42857142857142855)
(162, 0.42857142857142855)
(163, 0.4336283185840708)
(164, 0.4336283185840708)
(165, 0.4298245614035088)
(166, 0.4260869565217391)
(167, 0.4188034188034188)
(168, 0.423728813559322)
(169, 0.4214876033057851)
(170, 0.4214876033057851)
(171, 0.43548387096774194)
(172, 0.43548387096774194)
(173, 0.432)
(174, 0.4418604651162791)
(175, 0.4552238805970149)
(176, 0.4552238805970149)
(177, 0.45925925925925926)
(178, 0.4632352941176471)
(179, 0.4632352941176471)
(180, 0.460431654676259)
(181, 0.4642857142857143)
(182, 0.46099290780141844)
(183, 0.4652777777777778)
(184, 0.46206896551724136)
(185, 0.46938775510204084)
(186, 0.4697986577181208)
(187, 0.4697986577181208)
(188, 0.46710526315789475)
(189, 0.46710526315789475)
(190, 0.46710526315789475)
(191, 0.46405228758169936)
(192, 0.4645161290322581)
(193, 0.45569620253164556)
(194, 0.45)
(195, 0.45)
(196, 0.45)
(197, 0.45)
(198, 0.4472049689440994)
(199, 0.45454545454545453)
(200, 0.45454545454545453)
(201, 0.4578313253012048)
(202, 0.46153846153846156)
(203, 0.4619883040935672)
(204, 0.4659090909090909)
(205, 0.46629213483146065)
(206, 0.47513812154696133)
(207, 0.47540983606557374)
(208, 0.4756756756756757)
(209, 0.4787234042553192)
(210, 0.4787234042553192)
(211, 0.4787234042553192)
(212, 0.4791666666666667)
(213, 0.4791666666666667)
